
=== 采集时间: 2025-12-05 15:24:18 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-7	-8	14
2	0.0001	-4	13	2
3	0.0002	-2	13	-4
4	0.0003	0	5	1
5	0.0004	-12	-7	0
6	0.0005	-6	3	22
7	0.0006	1	16	7
8	0.0007	0	10	-14
9	0.0008	1	6	-3
10	0.0009	-14	-7	-4
11	0.0010	-14	6	18
12	0.0011	-6	16	7
13	0.0012	2	13	-4
14	0.0013	5	5	6
15	0.0014	-8	-8	1
16	0.0015	-6	-2	13
17	0.0016	-8	2	7
18	0.0017	-6	-2	-8
19	0.0018	2	0	3
20	0.0019	-12	-8	-2
21	0.0020	-8	0	15
22	0.0021	-12	7	3
23	0.0022	-12	2	-10
24	0.0023	2	7	0
25	0.0024	-6	-10	1
26	0.0025	-4	2	15
27	0.0026	0	14	11
28	0.0027	-7	19	3
29	0.0028	2	14	3
30	0.0029	-12	1	-2
31	0.0030	-11	-6	16
32	0.0031	-4	13	15
33	0.0032	6	26	10
34	0.0033	13	20	6
35	0.0034	1	-4	-3
36	0.0035	-4	-7	2
37	0.0036	-10	5	10
38	0.0037	-6	24	6
39	0.0038	6	16	6
40	0.0039	-17	-17	-7
41	0.0040	-10	-7	6
42	0.0041	-15	2	3
43	0.0042	9	27	0
44	0.0043	11	10	6
45	0.0044	-16	-24	-4
46	0.0045	-12	-7	10
47	0.0046	-23	11	2
48	0.0047	-2	26	9
49	0.0048	9	14	5
50	0.0049	-7	-14	-10
51	0.0050	-8	14	16
52	0.0051	-11	3	1
53	0.0052	-14	-3	-12
54	0.0053	6	1	-3
55	0.0054	-6	-3	2
56	0.0055	0	16	19
57	0.0056	-6	10	10
58	0.0057	-3	3	-6
59	0.0058	9	13	2
60	0.0059	-10	1	0
61	0.0060	-10	9	16
62	0.0061	-14	3	7
63	0.0062	-4	13	-6
64	0.0063	3	23	9
65	0.0064	-2	0	11
66	0.0065	-3	9	10
67	0.0066	-7	9	2
68	0.0067	-6	5	-8
69	0.0068	5	16	2
70	0.0069	-14	-4	6
71	0.0070	-11	6	20
72	0.0071	-7	9	3
73	0.0072	-4	6	-8
74	0.0073	1	5	1
75	0.0074	-12	-8	7
76	0.0075	-3	5	20
77	0.0076	-6	9	0
78	0.0077	-10	3	-14
79	0.0078	-2	2	1
80	0.0079	-17	-3	7
81	0.0080	-6	15	13
82	0.0081	-3	7	0
83	0.0082	-3	5	-4
84	0.0083	11	11	11
85	0.0084	-6	11	7
86	0.0085	2	37	36
87	0.0086	-2	20	7
88	0.0087	-7	-3	-14
89	0.0088	1	3	2
90	0.0089	-8	2	9
91	0.0090	5	26	27
92	0.0091	10	15	7
93	0.0092	-6	-20	-11
94	0.0093	5	-2	7
95	0.0094	-15	6	5
96	0.0095	-7	11	24
97	0.0096	1	7	2
98	0.0097	-8	-17	-14
99	0.0098	9	15	6
100	0.0099	-2	10	11

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	10	1983	-2
2	0.001	5	-94	6
3	0.002	-31	-653	-6
4	0.003	6	4	-5
5	0.004	32	2828	6
6	0.005	-22	1550	-7
7	0.006	-14	1350	10
8	0.007	52	2739	1
9	0.008	14	892	0
10	0.009	27	348	-5
================================================================================

=== 采集时间: 2025-12-05 15:24:19 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-7	10	13
2	0.0001	-3	9	6
3	0.0002	2	9	-8
4	0.0003	15	6	9
5	0.0004	-6	5	5
6	0.0005	-2	11	16
7	0.0006	-10	10	5
8	0.0007	-8	3	-8
9	0.0008	-2	11	3
10	0.0009	-12	0	5
11	0.0010	-7	10	16
12	0.0011	-7	7	2
13	0.0012	0	14	-3
14	0.0013	5	11	2
15	0.0014	-4	-3	5
16	0.0015	-12	1	15
17	0.0016	-8	6	3
18	0.0017	-2	7	-6
19	0.0018	9	13	9
20	0.0019	-11	-14	3
21	0.0020	-7	-2	16
22	0.0021	0	11	9
23	0.0022	1	13	-6
24	0.0023	10	14	3
25	0.0024	-19	-11	5
26	0.0025	-2	7	11
27	0.0026	0	23	5
28	0.0027	7	13	3
29	0.0028	9	11	6
30	0.0029	-8	-4	1
31	0.0030	0	23	23
32	0.0031	0	28	16
33	0.0032	2	14	-2
34	0.0033	3	3	9
35	0.0034	-11	-10	2
36	0.0035	0	14	22
37	0.0036	-6	19	9
38	0.0037	2	0	-14
39	0.0038	-4	-7	-3
40	0.0039	-15	-19	2
41	0.0040	-10	10	13
42	0.0041	-6	9	1
43	0.0042	-6	-10	-14
44	0.0043	-3	-10	-6
45	0.0044	-7	0	6
46	0.0045	-6	14	18
47	0.0046	-12	2	1
48	0.0047	-11	-8	-14
49	0.0048	-7	-4	-3
50	0.0049	-6	15	13
51	0.0050	-12	-2	10
52	0.0051	-8	3	1
53	0.0052	-3	7	-3
54	0.0053	10	9	5
55	0.0054	-8	-17	0
56	0.0055	-4	-3	13
57	0.0056	-10	10	11
58	0.0057	-7	10	2
59	0.0058	7	13	1
60	0.0059	-17	-14	-7
61	0.0060	-6	6	11
62	0.0061	-3	22	7
63	0.0062	3	19	2
64	0.0063	11	13	10
65	0.0064	-14	-16	-4
66	0.0065	-7	16	13
67	0.0066	-8	19	2
68	0.0067	-7	9	-6
69	0.0068	14	9	5
70	0.0069	-3	-11	-3
71	0.0070	-2	6	15
72	0.0071	-11	6	6
73	0.0072	-12	3	-14
74	0.0073	6	7	-4
75	0.0074	-11	-17	-4
76	0.0075	-6	-2	11
77	0.0076	-16	3	5
78	0.0077	-11	3	-8
79	0.0078	0	-2	-4
80	0.0079	-10	-11	-2
81	0.0080	-15	-2	11
82	0.0081	-20	6	0
83	0.0082	-10	1	-11
84	0.0083	5	13	-3
85	0.0084	-8	-7	7
86	0.0085	-12	10	19
87	0.0086	-15	13	3
88	0.0087	-11	11	-11
89	0.0088	9	14	-4
90	0.0089	-14	-14	-2
91	0.0090	-14	-2	22
92	0.0091	-10	6	2
93	0.0092	-2	5	-8
94	0.0093	16	6	1
95	0.0094	-10	-17	-4
96	0.0095	-8	5	18
97	0.0096	-10	6	10
98	0.0097	-4	3	-8
99	0.0098	10	7	-4
100	0.0099	-14	-17	-2

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	5	1310	-6
2	0.001	7	1278	-16
3	0.002	29	-589	-2
4	0.003	46	-1270	7
5	0.004	-10	4	-15
6	0.005	19	-1635	-6
7	0.006	5	787	7
8	0.007	-26	258	6
9	0.008	-25	1688	-4
10	0.009	3	-299	-4
================================================================================

=== 采集时间: 2025-12-05 15:24:19 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-2	13	16
2	0.0001	-2	13	13
3	0.0002	5	5	-6
4	0.0003	7	6	1
5	0.0004	-16	-12	3
6	0.0005	-4	11	22
7	0.0006	0	6	7
8	0.0007	-2	1	-11
9	0.0008	2	1	0
10	0.0009	-15	-11	-2
11	0.0010	-10	13	20
12	0.0011	-4	11	9
13	0.0012	0	2	-6
14	0.0013	7	3	7
15	0.0014	-12	-6	5
16	0.0015	-8	14	16
17	0.0016	-7	14	6
18	0.0017	-3	1	-10
19	0.0018	3	9	3
20	0.0019	-11	-4	10
21	0.0020	1	14	14
22	0.0021	1	13	2
23	0.0022	-3	1	-12
24	0.0023	5	-4	0
25	0.0024	-10	-10	3
26	0.0025	-8	9	20
27	0.0026	-2	5	3
28	0.0027	2	1	-10
29	0.0028	9	7	5
30	0.0029	-11	-4	5
31	0.0030	-2	10	18
32	0.0031	-3	9	2
33	0.0032	2	1	-3
34	0.0033	9	16	10
35	0.0034	-14	0	6
36	0.0035	-10	18	16
37	0.0036	-6	3	0
38	0.0037	-4	-7	-16
39	0.0038	7	16	7
40	0.0039	-7	3	10
41	0.0040	-6	16	19
42	0.0041	-6	-4	-8
43	0.0042	-6	-14	-19
44	0.0043	-2	9	2
45	0.0044	-14	-8	15
46	0.0045	-19	6	18
47	0.0046	-3	-8	-4
48	0.0047	-8	-11	-17
49	0.0048	1	2	-2
50	0.0049	-3	-2	2
51	0.0050	-14	1	13
52	0.0051	-11	0	-6
53	0.0052	-19	-7	-19
54	0.0053	-8	9	-4
55	0.0054	-7	2	7
56	0.0055	-6	14	20
57	0.0056	0	6	6
58	0.0057	-14	-7	-23
59	0.0058	-3	7	0
60	0.0059	-16	7	5
61	0.0060	-3	-7	11
62	0.0061	-7	10	1
63	0.0062	-11	13	-7
64	0.0063	0	2	6
65	0.0064	-11	-8	0
66	0.0065	-2	9	10
67	0.0066	0	16	-3
68	0.0067	-6	7	-10
69	0.0068	2	10	5
70	0.0069	-12	3	3
71	0.0070	-3	11	22
72	0.0071	-10	13	9
73	0.0072	-7	11	-8
74	0.0073	-6	7	1
75	0.0074	-12	-7	2
76	0.0075	2	5	20
77	0.0076	-6	9	7
78	0.0077	-4	3	-4
79	0.0078	-7	9	5
80	0.0079	-11	-7	2
81	0.0080	-8	5	11
82	0.0081	-4	2	6
83	0.0082	-2	9	-4
84	0.0083	1	5	7
85	0.0084	0	-4	1
86	0.0085	-8	-2	22
87	0.0086	-12	13	11
88	0.0087	-7	16	-6
89	0.0088	2	11	5
90	0.0089	-12	-12	2
91	0.0090	-6	-2	22
92	0.0091	-4	30	16
93	0.0092	2	24	-6
94	0.0093	5	14	2
95	0.0094	-11	-16	-6
96	0.0095	-6	5	11
97	0.0096	-7	19	14
98	0.0097	-3	16	-3
99	0.0098	11	6	-2
100	0.0099	-11	-17	-8

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	-5	-1611	1
2	0.001	30	359	-13
3	0.002	25	-1877	2
4	0.003	34	805	4
5	0.004	0	119	9
6	0.005	7	1321	12
7	0.006	12	-220	9
8	0.007	31	-571	9
9	0.008	21	-161	6
10	0.009	52	1292	15
================================================================================

=== 采集时间: 2025-12-05 15:24:19 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-4	14	28
2	0.0001	2	10	6
3	0.0002	-2	-7	-10
4	0.0003	7	-2	13
5	0.0004	-8	9	9
6	0.0005	-12	6	20
7	0.0006	-6	13	9
8	0.0007	-7	-8	-10
9	0.0008	7	5	11
10	0.0009	-8	6	5
11	0.0010	-4	2	10
12	0.0011	-3	18	2
13	0.0012	0	2	-6
14	0.0013	7	10	7
15	0.0014	-3	6	6
16	0.0015	-3	6	18
17	0.0016	0	13	2
18	0.0017	-4	9	-7
19	0.0018	-3	7	10
20	0.0019	-12	-2	5
21	0.0020	-6	10	19
22	0.0021	-4	9	9
23	0.0022	-2	6	-7
24	0.0023	-2	-3	-2
25	0.0024	-12	-7	0
26	0.0025	-8	-3	14
27	0.0026	-12	5	1
28	0.0027	-4	3	-6
29	0.0028	-8	0	3
30	0.0029	-8	1	6
31	0.0030	-8	6	16
32	0.0031	-4	7	2
33	0.0032	-6	-3	-8
34	0.0033	2	5	6
35	0.0034	-6	5	6
36	0.0035	-7	14	26
37	0.0036	-2	9	3
38	0.0037	-6	3	-15
39	0.0038	0	7	14
40	0.0039	-11	3	7
41	0.0040	-3	11	18
42	0.0041	-3	13	6
43	0.0042	0	1	-14
44	0.0043	13	6	9
45	0.0044	-6	10	18
46	0.0045	-7	13	20
47	0.0046	-4	13	7
48	0.0047	0	1	-10
49	0.0048	9	6	3
50	0.0049	-4	2	9
51	0.0050	-2	19	23
52	0.0051	-7	10	2
53	0.0052	-4	0	-11
54	0.0053	7	20	3
55	0.0054	-16	-11	6
56	0.0055	-4	10	26
57	0.0056	-8	10	11
58	0.0057	-2	2	-4
59	0.0058	2	10	2
60	0.0059	-17	-12	7
61	0.0060	-6	9	10
62	0.0061	-6	1	-2
63	0.0062	-3	-3	-15
64	0.0063	2	9	2
65	0.0064	-16	-8	7
66	0.0065	-4	11	16
67	0.0066	-4	11	2
68	0.0067	-2	3	-17
69	0.0068	0	9	6
70	0.0069	-17	-2	10
71	0.0070	-11	18	22
72	0.0071	2	19	10
73	0.0072	-6	-2	-6
74	0.0073	13	13	7
75	0.0074	-7	2	6
76	0.0075	-2	18	16
77	0.0076	6	15	3
78	0.0077	-11	-4	-15
79	0.0078	5	11	7
80	0.0079	-20	0	6
81	0.0080	-6	15	20
82	0.0081	-2	6	-2
83	0.0082	-6	-8	-12
84	0.0083	3	7	11
85	0.0084	-12	-3	10
86	0.0085	-3	10	15
87	0.0086	-7	-2	0
88	0.0087	-14	-7	-8
89	0.0088	2	16	6
90	0.0089	-17	3	0
91	0.0090	-7	1	10
92	0.0091	-8	-3	-4
93	0.0092	-10	3	-6
94	0.0093	2	36	10
95	0.0094	-10	7	9
96	0.0095	-12	-6	1
97	0.0096	-11	-12	-12
98	0.0097	-17	-7	-7
99	0.0098	2	30	11
100	0.0099	-7	2	3

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	15	1017	-2
2	0.001	14	1498	18
3	0.002	22	1412	3
4	0.003	11	1738	3
5	0.004	3	-2067	-3
6	0.005	30	218	9
7	0.006	0	-1798	5
8	0.007	30	906	-5
9	0.008	18	-43	18
10	0.009	-7	1290	-6
================================================================================

=== 采集时间: 2025-12-05 15:24:19 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-6	9	18
2	0.0001	2	14	7
3	0.0002	-6	-3	-12
4	0.0003	3	2	3
5	0.0004	-16	-12	2
6	0.0005	-3	5	11
7	0.0006	2	13	2
8	0.0007	-6	1	-7
9	0.0008	-3	2	5
10	0.0009	-15	-3	6
11	0.0010	-7	14	13
12	0.0011	0	10	1
13	0.0012	-4	-8	-6
14	0.0013	6	13	10
15	0.0014	-10	6	9
16	0.0015	-8	22	23
17	0.0016	-4	20	3
18	0.0017	-3	-4	-10
19	0.0018	7	18	15
20	0.0019	-8	5	15
21	0.0020	-6	15	14
22	0.0021	6	13	-10
23	0.0022	-3	-6	-16
24	0.0023	11	13	18
25	0.0024	-12	6	10
26	0.0025	-15	7	14
27	0.0026	-10	-2	-3
28	0.0027	-10	-14	-16
29	0.0028	10	14	5
30	0.0029	-6	-7	13
31	0.0030	-8	-4	15
32	0.0031	0	5	3
33	0.0032	-12	-4	-4
34	0.0033	-3	18	7
35	0.0034	-17	3	5
36	0.0035	-15	10	7
37	0.0036	5	19	0
38	0.0037	-6	2	2
39	0.0038	5	9	7
40	0.0039	-14	-7	2
41	0.0040	-12	1	9
42	0.0041	-3	22	2
43	0.0042	-3	3	-4
44	0.0043	0	2	5
45	0.0044	-11	-15	10
46	0.0045	-7	5	10
47	0.0046	1	19	1
48	0.0047	-7	-4	-14
49	0.0048	5	9	7
50	0.0049	-14	-12	6
51	0.0050	-10	11	18
52	0.0051	-3	15	7
53	0.0052	2	2	-16
54	0.0053	10	9	2
55	0.0054	-6	-4	5
56	0.0055	-7	9	19
57	0.0056	-6	6	0
58	0.0057	-2	-2	-11
59	0.0058	5	9	14
60	0.0059	-8	2	15
61	0.0060	-2	5	15
62	0.0061	3	10	11
63	0.0062	3	3	-3
64	0.0063	10	14	18
65	0.0064	-6	0	7
66	0.0065	-4	2	16
67	0.0066	-3	16	2
68	0.0067	-2	10	-6
69	0.0068	7	22	10
70	0.0069	-6	-3	10
71	0.0070	1	13	22
72	0.0071	10	30	14
73	0.0072	5	24	5
74	0.0073	-2	-3	10
75	0.0074	-6	-10	2
76	0.0075	-6	6	20
77	0.0076	-3	28	16
78	0.0077	9	11	2
79	0.0078	0	-3	6
80	0.0079	-7	-16	-2
81	0.0080	-12	6	10
82	0.0081	-3	20	10
83	0.0082	0	-3	-10
84	0.0083	0	-11	6
85	0.0084	-7	-10	7
86	0.0085	-2	7	19
87	0.0086	-7	19	2
88	0.0087	-6	-7	-16
89	0.0088	-4	-2	1
90	0.0089	-10	13	16
91	0.0090	1	15	22
92	0.0091	3	16	10
93	0.0092	3	5	-4
94	0.0093	3	14	9
95	0.0094	-10	11	6
96	0.0095	-4	5	10
97	0.0096	-3	11	3
98	0.0097	-3	9	1
99	0.0098	7	18	18
100	0.0099	-2	2	6

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	4	-578	-3
2	0.001	-15	-708	-5
3	0.002	24	3608	-8
4	0.003	-4	389	12
5	0.004	22	1839	18
6	0.005	42	177	-2
7	0.006	36	862	-3
8	0.007	11	27	2
9	0.008	31	777	7
10	0.009	50	1431	12
================================================================================

=== 采集时间: 2025-12-05 15:24:20 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	5	22	11
2	0.0001	2	16	6
3	0.0002	0	9	-6
4	0.0003	10	19	19
5	0.0004	-14	9	14
6	0.0005	2	32	22
7	0.0006	3	15	2
8	0.0007	2	3	-10
9	0.0008	10	10	16
10	0.0009	-12	13	20
11	0.0010	0	24	24
12	0.0011	-4	2	6
13	0.0012	-4	-8	-8
14	0.0013	7	6	11
15	0.0014	-11	9	14
16	0.0015	-4	11	14
17	0.0016	-6	-10	-4
18	0.0017	-2	-3	-8
19	0.0018	9	16	13
20	0.0019	-6	11	15
21	0.0020	-3	3	5
22	0.0021	-7	-2	-2
23	0.0022	-3	11	-4
24	0.0023	11	26	24
25	0.0024	-6	6	15
26	0.0025	-2	9	20
27	0.0026	-7	11	3
28	0.0027	-2	18	-7
29	0.0028	9	19	13
30	0.0029	-7	-8	7
31	0.0030	-2	9	18
32	0.0031	-3	15	7
33	0.0032	-6	14	-11
34	0.0033	3	9	6
35	0.0034	-17	-12	-2
36	0.0035	-6	3	7
37	0.0036	-2	7	-2
38	0.0037	-2	6	-4
39	0.0038	9	11	18
40	0.0039	-10	-3	13
41	0.0040	-4	7	10
42	0.0041	-6	7	1
43	0.0042	-11	5	-8
44	0.0043	-2	9	5
45	0.0044	-8	2	6
46	0.0045	-2	11	18
47	0.0046	-3	6	2
48	0.0047	-6	5	-4
49	0.0048	0	9	9
50	0.0049	-6	11	6
51	0.0050	-12	5	14
52	0.0051	-6	3	1
53	0.0052	-4	-3	-11
54	0.0053	2	6	6
55	0.0054	-19	-7	7
56	0.0055	-7	10	16
57	0.0056	-3	15	2
58	0.0057	-7	11	-11
59	0.0058	1	11	2
60	0.0059	-23	-25	5
61	0.0060	-11	7	20
62	0.0061	6	27	10
63	0.0062	-6	11	-6
64	0.0063	5	9	1
65	0.0064	-17	-21	-3
66	0.0065	-4	7	26
67	0.0066	13	30	18
68	0.0067	-6	9	1
69	0.0068	2	7	10
70	0.0069	-14	-21	2
71	0.0070	-6	22	14
72	0.0071	16	26	10
73	0.0072	-8	-10	-6
74	0.0073	5	9	9
75	0.0074	-17	-19	-3
76	0.0075	-8	22	22
77	0.0076	10	19	11
78	0.0077	-10	-8	-11
79	0.0078	5	14	9
80	0.0079	-15	-12	9
81	0.0080	-10	16	14
82	0.0081	-3	9	-2
83	0.0082	-15	-14	-11
84	0.0083	7	20	7
85	0.0084	-6	3	18
86	0.0085	0	10	13
87	0.0086	0	9	5
88	0.0087	-10	-15	-11
89	0.0088	6	19	11
90	0.0089	-16	-8	6
91	0.0090	-8	5	10
92	0.0091	-4	2	0
93	0.0092	0	-7	-3
94	0.0093	10	19	16
95	0.0094	-15	-14	2
96	0.0095	-6	7	6
97	0.0096	-4	9	3
98	0.0097	2	3	2
99	0.0098	18	27	15
100	0.0099	-8	-12	7

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	37	1095	6
2	0.001	-4	368	-2
3	0.002	20	468	-4
4	0.003	0	1191	2
5	0.004	21	1492	18
6	0.005	15	1931	-4
7	0.006	7	-2507	-8
8	0.007	20	-166	-17
9	0.008	-15	-470	-12
10	0.009	27	314	5
================================================================================

=== 采集时间: 2025-12-05 15:24:20 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-4	13	20
2	0.0001	1	7	7
3	0.0002	-3	9	-8
4	0.0003	5	18	13
5	0.0004	-15	-4	-4
6	0.0005	-7	5	9
7	0.0006	0	9	2
8	0.0007	-6	6	-3
9	0.0008	5	13	15
10	0.0009	-12	-4	7
11	0.0010	-6	1	7
12	0.0011	-3	13	-3
13	0.0012	-4	2	-11
14	0.0013	2	7	13
15	0.0014	-16	-4	16
16	0.0015	-8	11	15
17	0.0016	3	19	-2
18	0.0017	2	3	-8
19	0.0018	-2	3	7
20	0.0019	-11	-4	7
21	0.0020	-7	9	6
22	0.0021	-4	14	-2
23	0.0022	-6	6	-4
24	0.0023	-6	2	2
25	0.0024	-11	-2	5
26	0.0025	-2	7	10
27	0.0026	1	11	1
28	0.0027	-3	-3	-8
29	0.0028	-4	5	7
30	0.0029	-15	-11	3
31	0.0030	-4	6	7
32	0.0031	-2	7	3
33	0.0032	-8	-4	-10
34	0.0033	-3	3	13
35	0.0034	-12	-12	3
36	0.0035	0	10	13
37	0.0036	1	13	5
38	0.0037	-6	2	-10
39	0.0038	1	10	11
40	0.0039	-12	5	13
41	0.0040	-6	14	16
42	0.0041	3	6	2
43	0.0042	1	2	-4
44	0.0043	14	28	20
45	0.0044	-2	11	11
46	0.0045	-8	-2	6
47	0.0046	-6	-3	-4
48	0.0047	-10	3	-6
49	0.0048	7	30	20
50	0.0049	-10	10	7
51	0.0050	-7	2	5
52	0.0051	-2	-2	-3
53	0.0052	3	7	-3
54	0.0053	10	24	15
55	0.0054	-6	13	20
56	0.0055	-4	3	11
57	0.0056	2	10	-2
58	0.0057	-4	7	-10
59	0.0058	5	24	19
60	0.0059	1	3	22
61	0.0060	-8	9	16
62	0.0061	0	7	3
63	0.0062	-6	-4	-11
64	0.0063	2	13	7
65	0.0064	-12	-11	-2
66	0.0065	-3	2	6
67	0.0066	0	1	0
68	0.0067	-4	-3	-10
69	0.0068	7	14	14
70	0.0069	-24	-12	7
71	0.0070	-12	-3	6
72	0.0071	-4	6	-11
73	0.0072	-7	-8	-14
74	0.0073	5	9	10
75	0.0074	-16	-8	10
76	0.0075	-7	10	14
77	0.0076	-3	15	0
78	0.0077	-7	5	-14
79	0.0078	1	14	10
80	0.0079	-12	-2	3
81	0.0080	-2	13	14
82	0.0081	3	7	5
83	0.0082	0	2	-6
84	0.0083	0	5	7
85	0.0084	-15	-10	3
86	0.0085	-2	5	7
87	0.0086	-6	3	-2
88	0.0087	-2	2	-4
89	0.0088	-2	10	2
90	0.0089	-10	-3	1
91	0.0090	-6	5	9
92	0.0091	-2	5	-4
93	0.0092	-11	-3	-12
94	0.0093	-2	9	7
95	0.0094	-17	-6	0
96	0.0095	-12	18	7
97	0.0096	-10	13	1
98	0.0097	-17	-4	-14
99	0.0098	3	6	15
100	0.0099	-7	3	2

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	21	1184	16
2	0.001	28	1356	-4
3	0.002	41	1529	14
4	0.003	15	-2181	7
5	0.004	10	-297	11
6	0.005	42	106	-6
7	0.006	11	-504	22
8	0.007	5	-114	12
9	0.008	12	552	13
10	0.009	9	1370	18
================================================================================

=== 采集时间: 2025-12-05 15:24:20 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-6	7	13
2	0.0001	0	13	1
3	0.0002	-12	-4	-16
4	0.0003	1	9	6
5	0.0004	-20	5	5
6	0.0005	2	18	14
7	0.0006	5	20	5
8	0.0007	-4	-3	-8
9	0.0008	-2	2	10
10	0.0009	-14	-2	7
11	0.0010	-4	14	10
12	0.0011	-4	7	-2
13	0.0012	-10	-17	-15
14	0.0013	-2	-2	6
15	0.0014	-15	2	13
16	0.0015	-2	20	13
17	0.0016	3	11	0
18	0.0017	-6	-3	-16
19	0.0018	-6	6	13
20	0.0019	-16	5	15
21	0.0020	-6	14	14
22	0.0021	-7	10	-7
23	0.0022	-7	2	-7
24	0.0023	-6	7	14
25	0.0024	-6	11	20
26	0.0025	-2	9	7
27	0.0026	3	5	-4
28	0.0027	-8	-4	-11
29	0.0028	-7	5	11
30	0.0029	-16	5	9
31	0.0030	-11	5	11
32	0.0031	-3	9	-3
33	0.0032	-7	-4	-12
34	0.0033	7	7	7
35	0.0034	-6	-2	5
36	0.0035	-3	10	15
37	0.0036	2	16	2
38	0.0037	-10	6	-11
39	0.0038	-3	6	9
40	0.0039	-23	7	9
41	0.0040	-3	18	10
42	0.0041	3	14	-2
43	0.0042	5	9	-3
44	0.0043	5	10	14
45	0.0044	-19	2	6
46	0.0045	-14	10	11
47	0.0046	-2	9	-4
48	0.0047	-2	7	-10
49	0.0048	6	14	15
50	0.0049	-21	-11	11
51	0.0050	-3	7	13
52	0.0051	0	5	-3
53	0.0052	-2	-2	-10
54	0.0053	2	2	6
55	0.0054	-20	-14	10
56	0.0055	1	9	15
57	0.0056	3	6	3
58	0.0057	-2	3	-2
59	0.0058	-11	2	0
60	0.0059	-24	-7	1
61	0.0060	-8	3	11
62	0.0061	-2	9	1
63	0.0062	-3	9	-3
64	0.0063	5	14	11
65	0.0064	-12	-10	2
66	0.0065	-8	-10	1
67	0.0066	-4	9	2
68	0.0067	-3	9	-4
69	0.0068	13	16	13
70	0.0069	-8	-10	9
71	0.0070	-12	-6	5
72	0.0071	-4	15	-6
73	0.0072	-3	14	-8
74	0.0073	10	22	22
75	0.0074	-8	-4	15
76	0.0075	1	7	10
77	0.0076	-2	19	5
78	0.0077	-6	13	0
79	0.0078	0	23	22
80	0.0079	-14	3	7
81	0.0080	0	13	13
82	0.0081	0	13	1
83	0.0082	-3	5	2
84	0.0083	7	19	22
85	0.0084	-6	-7	10
86	0.0085	-2	2	10
87	0.0086	-4	9	0
88	0.0087	-4	0	-6
89	0.0088	1	13	16
90	0.0089	-7	1	10
91	0.0090	-8	9	11
92	0.0091	0	9	1
93	0.0092	-2	1	1
94	0.0093	10	18	16
95	0.0094	3	-3	11
96	0.0095	-3	10	7
97	0.0096	1	18	5
98	0.0097	-14	11	0
99	0.0098	3	23	27
100	0.0099	-2	5	13

电流增量数据 [1000Hz, 10点]
采样序号	时间(s)	A相电流(INT)	B相电流(INT)	C相电流(INT)
1	0.000	36	-84	6
2	0.001	4	-820	3
3	0.002	22	-101	13
4	0.003	30	2377	16
5	0.004	36	1809	12
6	0.005	10	1074	15
7	0.006	19	2284	16
8	0.007	23	409	7
9	0.008	11	316	-8
10	0.009	29	-625	7
================================================================================

=== 采集时间: 2025-12-05 15:24:21 (增量周期: 10.0ms) ===
振动增量数据 [等效10000Hz, 100点]
时序序号	时间(s)	X振动(INT)	Y振动(INT)	Z振动(INT)
1	0.0000	-7	7	7
2	0.0001	0	15	1
3	0.0002	-2	5	-8
4	0.0003	2	5	11
5	0.0004	-17	-15	1
6	0.0005	-11	-3	1
7	0.0006	-2	7	-6
8	0.0007	-4	5	-4
9	0.0008	0	9	11
10	0.0009	-23	-10	2
11	0.0010	-10	-4	2
12	0.0011	-4	9	-7
